"timestamp","rainfall","stormwater"
2024-04-01 08:00:00,0.003,0
2024-04-01 08:01:00,0,0
2024-04-01 08:02:00,0,0
2024-04-01 08:03:00,0,0
2024-04-01 08:04:00,0,0
2024-04-01 08:05:00,0,0
2024-04-01 08:06:00,0,0
2024-04-01 08:07:00,0.004,0
2024-04-01 08:08:00,0,0
2024-04-01 08:09:00,0.002,0
2024-04-01 08:10:00,0,0
2024-04-01 08:11:00,0,0
2024-04-01 08:12:00,0,0
2024-04-01 08:13:00,0.419,0
2024-04-01 08:14:00,0,0
2024-04-01 08:15:00,0,0
2024-04-01 08:16:00,0,0
2024-04-01 08:17:00,0.019,0
2024-04-01 08:18:00,0,0
2024-04-01 08:19:00,0,0
2024-04-01 08:20:00,0,0
2024-04-01 08:21:00,0,0
2024-04-01 08:22:00,0,0
2024-04-01 08:23:00,0,0
2024-04-01 08:24:00,0,0
2024-04-01 08:25:00,0.326,0
2024-04-01 08:26:00,0.144,0
2024-04-01 08:27:00,0,0
2024-04-01 08:28:00,0.012,0
2024-04-01 08:29:00,0.001,0
2024-04-01 08:30:00,0.003,0
2024-04-01 08:31:00,0.144,0
2024-04-01 08:32:00,0.144,0
2024-04-01 08:33:00,0.009,0
2024-04-01 08:34:00,0.24,0
2024-04-01 08:35:00,0.145,0
2024-04-01 08:36:00,0.001,0.001
2024-04-01 08:37:00,0,0.001
2024-04-01 08:38:00,0.597,0.001
2024-04-01 08:39:00,0.002,0.001
2024-04-01 08:40:00,0.001,0.001
2024-04-01 08:41:00,0.199,0.001
2024-04-01 08:42:00,0.708,0.001
2024-04-01 08:43:00,0.511,0.001
2024-04-01 08:44:00,0.678,0.002
2024-04-01 08:45:00,0.458,0.002
2024-04-01 08:46:00,0.107,0.002
2024-04-01 08:47:00,0.038,0.002
2024-04-01 08:48:00,0.598,0.003
2024-04-01 08:49:00,0.447,0.003
2024-04-01 08:50:00,0.068,0.003
2024-04-01 08:51:00,0.485,0.004
2024-04-01 08:52:00,0.578,0.004
2024-04-01 08:53:00,0.582,0.005
2024-04-01 08:54:00,1.077,0.005
2024-04-01 08:55:00,1.276,0.006
2024-04-01 08:56:00,1.423,0.007
2024-04-01 08:57:00,0.258,0.007
2024-04-01 08:58:00,1.838,0.008
2024-04-01 08:59:00,1.066,0.009
2024-04-01 09:00:00,0.876,0.01
